Name,ID
Bothus lunatus,5543
Bothus maculiferus,5544
Bothus myriaster,5546
Bothus ocellatus,5547
Bothus robinsi,5550
Bovichtus angustifrons,5593
Bovichtus variegatus,5594
Brachaelurus waddi,5603
Brachaluteres jacksonianus,5604
Brachaluteres taylori,5605
Brachionichthys australis,5614
Brachirus muelleri,5621
Brachirus niger,5622
Brachirus orientalis,5623
Brachypleura novaezeelandiae,5648
Brachysomophis crocodilinus,5662
Brama caribbea,5704
Brama dussumieri,5705
Brama japonica,5706
Brama orcini,5707
Branchiostegus australiensis,5713
Branchiostegus doliatus,5714
Branchiostegus japonicus,5715
Branchiostegus sawakinensis,5716
Branchiostegus semifasciatus,5717
Branchiostegus serratus,5718
Bregmaceros atlanticus,5750
Bregmaceros bathymaster,5751
Bregmaceros cantori,5752
Bregmaceros japonicus,5753
Bregmaceros nectabanus,5756
Bregmaceros rarisquamosus,5757
Breviraja spinosa,5764
Brevoortia gunteri,5765
Brevoortia smithi,5767
Brienomyrus brachyistius,5772
Brochiraja asperula,5811
Brochiraja spinifera,5812
Brosmophyciops pautzkei,5836
Brotula multibarbata,5840
Brotulotaenia crassa,5841
Bryaninops amplus,5854
Bryaninops erythrops,5855
Bryaninops loki,5856
Bryaninops natans,5857
Bryaninops ridens,5858
Bryaninops yongei,5859
Brycinus longipinnis,5862
Bryozoichthys marjorius,5899
Bryx dunckeri,5934
Buenia jeffreysii,5984
Bufoceratias wedli,5988
Buglossidium luteum,5992
Bullisichthys caribbaeus,6058
Bunaka gyrinoides,6062
Butis amboinensis,6111
Butis butis,6112
Butis koilomatodon,6113
Bythaelurus dawsoni,6145
Bythaelurus lutarius,6146
Cabillus lacertops,6168
Cabillus tongarevae,6169
Caesio cuning,6209
Caesio xanthonota,6212
Caesioperca lepidoptera,6213
Caesioperca rasor,6214
Caffrogobius agulhensis,6215
Caffrogobius caffer,6216
Caffrogobius gilchristi,6217
Caffrogobius natalensis,6218
Caffrogobius nudiceps,6219
Caffrogobius saldanha,6220
Calamus arctifrons,6258
Calamus brachysomus,6260
Calamus campechanus,6262
Calamus cervigoni,6263
Calamus leucosteus,6264
Calamus mu,6265
Calamus nodosus,6266
Calamus penna,6267
Calamus pennatula,6268
Calamus proridens,6269
Calamus taurinus,6270
Callanthias allporti,6379
Callanthias australis,6380
Callanthias legras,6381
Callanthias ruber,6382
Callechelys catostoma,6383
Callechelys marmorata,6384
Callionymus afilum,6421
Callionymus bairdi,6422
Callionymus belcheri,6423
Callionymus bifilum,6424
Callionymus curvicornis,6425
Callionymus enneactis,6426
Callionymus filamentosus,6427
Callionymus formosanus,6428
Callionymus goodladi,6429
Callionymus grossi,6430
Callionymus japonicus,6431
Callionymus limiceps,6432
Callionymus lyra,6433
Callionymus maculatus,6434
Callionymus marleyi,6435
Callionymus meridionalis,6436
Callionymus ogilbyi,6437
Callionymus reticulatus,6438
Callionymus simplicicornis,6439
Callionymus sublaevis,6440
Callionymus tethys,6441
Callionymus virgis,6442
Callogobius depressus,6509
Callogobius flavobrunneus,6510
Callogobius hasseltii,6511
Callogobius maculipinnis,6512
Callogobius mucosus,6513
Callogobius okinawae,6514
Callogobius plumatus,6515
Callogobius sclateri,6516
Calloplesiops altivelis,6525
Calotomus japonicus,6658
Calotomus viridescens,6660
Calotomus zonarchus,6661
Calumia godeffroyi,6666
Calumia profunda,6667
Cantherhines fronticinctus,6875
Cantherhines macrocerus,6876
Cantherhines pullus,6878
Canthigaster amboinensis,6883
