"","long","lat","loiczid"
"792",-94.25,28.25,88732
"793",-93.75,28.25,88733
"794",-93.25,28.25,88734
"795",-92.75,28.25,88735
"796",-92.25,28.25,88736
"797",-91.75,28.25,88737
"798",-91.25,28.25,88738
"799",-90.75,28.25,88739
"800",-90.25,28.25,88740
"801",-89.75,28.25,88741
"802",-89.25,28.25,88742
"803",-88.75,28.25,88743
"804",-88.25,28.25,88744
"805",-87.75,28.25,88745
"806",-87.25,28.25,88746
"807",-86.75,28.25,88747
"808",-86.25,28.25,88748
"809",-85.75,28.25,88749
"810",-85.25,28.25,88750
"811",-84.75,28.25,88751
"812",-84.25,28.25,88752
"813",-83.75,28.25,88753
"814",-83.25,28.25,88754
"815",-82.75,28.25,88755
"816",-82.25,28.25,88756
"817",-81.75,28.25,88757
"818",-81.25,28.25,88758
"819",-80.75,28.25,88759
"820",-80.25,28.25,88760
"821",-79.75,28.25,88761
"822",-79.25,28.25,88762
"823",-78.75,28.25,88763
"824",-78.25,28.25,88764
"825",-77.75,28.25,88765
"826",-77.25,28.25,88766
"827",-76.75,28.25,88767
"828",-76.25,28.25,88768
"829",-75.75,28.25,88769
"830",-75.25,28.25,88770
"831",-74.75,28.25,88771
"832",-74.25,28.25,88772
"833",-73.75,28.25,88773
"834",-73.25,28.25,88774
"835",-72.75,28.25,88775
"836",-72.25,28.25,88776
"837",-71.75,28.25,88777
"838",-71.25,28.25,88778
"839",-70.75,28.25,88779
"840",-70.25,28.25,88780
"841",-99.75,27.75,89441
"842",-99.25,27.75,89442
"843",-98.75,27.75,89443
"844",-98.25,27.75,89444
"845",-97.75,27.75,89445
"846",-97.25,27.75,89446
"847",-96.75,27.75,89447
"848",-96.25,27.75,89448
"849",-95.75,27.75,89449
"850",-95.25,27.75,89450
"851",-94.75,27.75,89451
"852",-94.25,27.75,89452
"853",-93.75,27.75,89453
"854",-93.25,27.75,89454
"855",-92.75,27.75,89455
"856",-92.25,27.75,89456
"857",-91.75,27.75,89457
"858",-91.25,27.75,89458
"859",-90.75,27.75,89459
"860",-90.25,27.75,89460
"861",-89.75,27.75,89461
"862",-89.25,27.75,89462
"863",-88.75,27.75,89463
"864",-88.25,27.75,89464
"865",-87.75,27.75,89465
"866",-87.25,27.75,89466
"867",-86.75,27.75,89467
"868",-86.25,27.75,89468
