"","am_sid","class","order","family","Loo","K","Winfinity","tmax","tm","M","Lm","depthrangedeep","demerspelag","EnvTemp","FeedingType","bodyshape","IUCN_Code","Resilience","pd50","vulnerability","importance","pricecateg"
"3324","Fis-161171","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,25,"reef-associated","subtropical",NA,"elongated","NE","High",0.5,16.21,NA,"very high"
"3325","Fis-161175","Actinopterygii","Perciformes","Pomacentridae",12.384188096468,0.795386527740592,29.3513017458605,4.36638292757224,1.02321806746295,1.3656494641526,7.41619713415955,90,"reef-associated","temperate",NA,"short_andor_deep","NE","High",0.5,26.72,NA,NA
"3326","Fis-161177","Actinopterygii","Perciformes","Zoarcidae",43.4199116484875,0.247033253897684,658.345685303698,11.1834642454777,2.92606073439843,0.462673347659841,23.3157985948434,1533,"demersal","temperate",NA,"eel_like","NE","Medium",0.5,37.09,NA,NA
"3327","Fis-161179","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,70,"reef-associated","subtropical",NA,"fusiform_normal","LC","High",0.5,10,NA,NA
"3328","Fis-161181","Actinopterygii","Pleuronectiformes","Soleidae",27.9805614328974,0.330044494582009,214.06735627153,11.504163931313,2.41207897289386,0.40368461923402,16.4921339739874,27,"demersal","tropical",NA,"short_andor_deep","NE","High",0.5,15.77,NA,NA
"3329","Fis-161183","Actinopterygii","Perciformes","Labridae",28.6780883606052,0.330419828304999,333.611170413121,8.97238027933105,2.32668490697313,0.650280325801431,15.4306239919947,60,"reef-associated","tropical",NA,"fusiform_normal","LC","High",0.5,14.21,NA,NA
"3330","Fis-161188","Actinopterygii","Lophiiformes","Oneirodidae",30.9242830671413,0.25903037420866,261.990360183465,8.69308338479252,2.47092223025412,0.459896963405887,16.5894623725642,1130,"demersal","deep-water",NA,"short_andor_deep","NE","High",0.5312,28.62,NA,NA
"3331","Fis-161193","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,48,"pelagic","tropical",NA,"elongated","NE","High",0.5,10,NA,NA
"3332","Fis-161199","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,25,"pelagic","tropical",NA,"elongated","NE","High",0.5,10,NA,NA
"3333","Fis-161201","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,38,"pelagic","tropical",NA,"elongated","NE","High",0.5,10,NA,NA
"3334","Fis-161202","Elasmobranchii","Rajiformes","Rajidae",188.414433931463,0.0923572318558271,35336.3330813041,17.7167260201567,9.3564290678586,0.184539105417066,109.747173161203,730,"pelagic","temperate",NA,"other","EN","Low",0.5,56.8,NA,NA
